Title,Year,Company,Form,Episodes,Genres,Link
Golden Kamuy 2,  2018,Geno Studio  ,TV ,12,"Action,Adventure,Historical",https://www.animeunity.tv/anime/1036-golden-kamuy-2/
Golden Kamuy 3,  2020,Geno Studio  ,TV ,12,"Action,Adventure,Historical",https://www.animeunity.tv/anime/2812-golden-kamuy-3/
Golden Kamuy 4,  2022,Brain's Base  ,TV ,13,"Action,Adventure,Comedy",https://www.animeunity.tv/anime/4060-golden-kamuy-4/
Golden Time,  2013,J.C. Staff  ,TV ,24,"Comedy,Drama,Romance",https://www.animeunity.tv/anime/173-golden-time/
Golgo 13 (TV),  2008,The Answer Studio  ,TV ,50,"Action,Adventure,Drama",https://www.animeunity.tv/anime/1686-golgo-13-tv/
Gosenzo-sama Banbanzai!,  1989,Studio Pierrot  ,OVA ,6,"Comedy,Drama,Psychological",https://www.animeunity.tv/anime/3496-gosenzo-sama-banbanzai/
Gosick,  2011,BONES  ,TV ,24,"Drama,Historical,Mystery",https://www.animeunity.tv/anime/474-gosick/
Granbelm,  2019,Nexus  ,TV ,13,"Fantasy,Magic,",https://www.animeunity.tv/anime/1043-granbelm/
Granblue Fantasy The Animation,  2017,A-1 Pictures  ,TV ,13,"Adventure,Fantasy,",https://www.animeunity.tv/anime/509-granblue-fantasy-the-animation/
Granblue Fantasy The Animation Season 2,  2019,MAPPA  ,TV ,12,"Adventure,Fantasy,",https://www.animeunity.tv/anime/1661-granblue-fantasy-the-animation-season-2/
Granblue Fantasy The Animation: Kabocha no Lantern,  2017,A-1 Pictures  ,Special ,1,Fantasy,https://www.animeunity.tv/anime/1727-granblue-fantasy-the-animation-kabocha-no-lantern/
Grancrest Senki,  2018,A-1 Pictures  ,TV ,24,"Action,Drama,Fantasy",https://www.animeunity.tv/anime/659-grancrest-senki/
Grand Blue,  2018,Zero-G  ,TV ,12,"Comedy,Seinen,Slice of Life",https://www.animeunity.tv/anime/260-grand-blue/
Grappler Baki,  2001,Group TAC  ,TV ,24,"Action,Martial Arts,Shounen",https://www.animeunity.tv/anime/1737-grappler-baki/
Grappler Baki The Ultimate Fighter,  1994,Knack Productions  ,OVA ,1,"Action,Martial Arts,Shounen",https://www.animeunity.tv/anime/1740-grappler-baki-the-ultimate-fighter/
Grappler Baki: Saidai Tournament-hen,  2001,Group TAC  ,TV ,24,"Action,Martial Arts,Shounen",https://www.animeunity.tv/anime/1738-grappler-baki-saidai-tournament-hen/
Gravitation,  2000,Studio DEEN  ,TV ,13,"Comedy,Music,Romance",https://www.animeunity.tv/anime/2021-gravitation/
Gravitation: Lyrics of Love,  1993,Plum  ,OVA ,2,"Comedy,Romance,Shoujo",https://www.animeunity.tv/anime/2022-gravitation-lyrics-of-love/
Great Pretender,  2020,Wit Studio  ,ONA ,23,Action,https://www.animeunity.tv/anime/2439-great-pretender/
Great Pretender (ITA),  2020,Wit Studio  ,ONA ,23,Action,https://www.animeunity.tv/anime/2743-great-pretender-ita/
Great Teacher Onizuka (ITA),  1999,Studio Pierrot  ,TV ,43,"Comedy,Drama,School",https://www.animeunity.tv/anime/1583-great-teacher-onizuka-ita/
Green Green,2003,,TV ,12,"Comedy,Ecchi,Romance",https://www.animeunity.tv/anime/1524-green-green/
Green Green OVA,2002,,OVA ,1,"Comedy,Ecchi,Romance",https://www.animeunity.tv/anime/1525-green-green-ova/
Green Green Specials,2003,,OVA ,3,"Comedy,Ecchi,Romance",https://www.animeunity.tv/anime/1527-green-green-specials/
Green Green Thirteen: Erolutions,  2004,Studio Matrix  ,OVA ,1,"Comedy,Hentai,Romance",https://www.animeunity.tv/anime/1526-green-green-thirteen-erolutions/
Grimms Notes The Animation,  2019,Brain's Base  ,TV ,12,"Action,Adventure,Fantasy",https://www.animeunity.tv/anime/360-grimms-notes-the-animation/
Grisaia no Kajitsu,  2014,8-bit  ,TV ,13,"Drama,Harem,Psychological",https://www.animeunity.tv/anime/174-grisaia-no-kajitsu/
Grisaia no Meikyuu,  2015,8-bit  ,Special ,1,"Drama,Ecchi,",https://www.animeunity.tv/anime/176-grisaia-no-meikyuu/
Grisaia no Meikyuu Special,  2015,8-bit  ,Special ,1,Ecchi,https://www.animeunity.tv/anime/1747-grisaia-no-meikyuu-special/
Grisaia no Rakuen,  2015,8-bit  ,TV ,10,"Drama,Harem,Psychological",https://www.animeunity.tv/anime/179-grisaia-no-rakuen/
Grisaia no Rakuen Specials,  2015,8-bit  ,Special ,5,Ecchi,https://www.animeunity.tv/anime/2520-grisaia-no-rakuen-specials/
Grisaia: Phantom Trigger - The Animation,  2019,Bibury  ,Movie ,2,"Action,School,",https://www.animeunity.tv/anime/1178-grisaia-phantom-trigger-the-animation/
Groove Adventure Rave,  2001,Studio DEEN  ,TV ,51,"Adventure,Comedy,Fantasy",https://www.animeunity.tv/anime/1653-groove-adventure-rave/
Gugure! Kokkuri-san,  2014,TMS Entertainment  ,TV ,12,"Comedy,Shounen,Supernatural",https://www.animeunity.tv/anime/1314-gugure-kokkuri-san/
Guilty Crown,  2011,Production I.G  ,TV ,22,"Action,Drama,Romance",https://www.animeunity.tv/anime/31-guilty-crown/
Guilty Crown: Lost Christmas - An Episode of Port Town,  2012,Production I.G  ,OVA ,1,"Action,Drama,Sci-fi",https://www.animeunity.tv/anime/658-guilty-crown-lost-christmas-an-episode-of-port-town/
Gun x Sword,  2005,AIC ASTA  ,TV ,26,"Action,Adventure,Drama",https://www.animeunity.tv/anime/3636-gun-x-sword/
Gunbuster,  1988,Gainax  ,OVA ,6,"Action,Comedy,Drama",https://www.animeunity.tv/anime/3425-gunbuster/
Gunbuster 2 (ITA),  2004,Gainax  ,OVA ,6,"Action,Comedy,Drama",https://www.animeunity.tv/anime/3982-gunbuster-2-ita/
Gundam Breaker: Battlogue,  2021,Sunrise  ,ONA ,6,"Action,Mecha,",https://www.animeunity.tv/anime/3279-gundam-breaker-battlogue/
Gundam Build Divers Re:Rise,  2019,Sunrise  ,ONA ,13,"Action,Mecha,Sci-fi",https://www.animeunity.tv/anime/1656-gundam-build-divers-rerise/
Gundam Build Divers Re:Rise 2,  2020,Sunrise  ,ONA ,13,"Action,Mecha,Sci-fi",https://www.animeunity.tv/anime/2204-gundam-build-divers-rerise-2/
Gundam Build Fighters: Battlogue,  2017,Sunrise  ,ONA ,5,"Action,Mecha,Sci-fi",https://www.animeunity.tv/anime/2110-gundam-build-fighters-battlogue/
Gundam Reconguista in G,  2014,Sunrise  ,TV ,26,"Action,Mecha,Sci-fi",https://www.animeunity.tv/anime/3282-gundam-reconguista-in-g/
Gundam vs Hello Kitty,2019,,ONA ,3,"Comedy,Fantasy,Kids",https://www.animeunity.tv/anime/1316-gundam-vs-hello-kitty/
Gunjou no Fanfare,  2022,Lay-duce  ,TV ,13,Sports,https://www.animeunity.tv/anime/3670-gunjou-no-fanfare/
